Borough,SR_Type,Agency,Agency2,count,location,aggregate
BRONX,Consumer Complaint,DCA,DCA - 22K,2740,BRONX - 418K ,2.65 Million SRs in 2015
BROOKLYN,Consumer Complaint,DCA,DCA - 22K,4531,BROOKLYN - 718K ,2.65 Million SRs in 2015
MANHATTAN,Consumer Complaint,DCA,DCA - 22K,4635,MANHATTAN - 511K ,2.65 Million SRs in 2015
QUEENS,Consumer Complaint,DCA,DCA - 22K,4533,QUEENS - 554K ,2.65 Million SRs in 2015
STATEN ISLAND,Consumer Complaint,DCA,DCA - 22K,463,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
BRONX,Asbestos,DEP,DEP - 204K,149,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Lead,DEP,DEP - 204K,153,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Industrial Waste,DEP,DEP - 204K,182,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Water Quality,DEP,DEP - 204K,192,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Internal Code,DEP,DEP - 204K,308,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Hazardous Materials,DEP,DEP - 204K,413,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Air Quality,DEP,DEP - 204K,771,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Water Conservation,DEP,DEP - 204K,888,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Noise,DEP,DEP - 204K,2978,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Sewer,DEP,DEP - 204K,4947,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Water System,DEP,DEP - 204K,11614,BRONX - 418K ,2.65 Million SRs in 2015
BROOKLYN,Internal Code,DEP,DEP - 204K,104,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Plant,DEP,DEP - 204K,150,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Water Quality,DEP,DEP - 204K,336,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Industrial Waste,DEP,DEP - 204K,526,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Asbestos,DEP,DEP - 204K,558,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Lead,DEP,DEP - 204K,973,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Hazardous Materials,DEP,DEP - 204K,1071,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Water Conservation,DEP,DEP - 204K,1521,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Air Quality,DEP,DEP - 204K,2802,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Sewer,DEP,DEP - 204K,12371,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Noise,DEP,DEP - 204K,15192,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Water System,DEP,DEP - 204K,20247,BROOKLYN - 718K ,2.65 Million SRs in 2015
MANHATTAN,Water Quality,DEP,DEP - 204K,290,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Industrial Waste,DEP,DEP - 204K,332,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Water Conservation,DEP,DEP - 204K,457,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Lead,DEP,DEP - 204K,580,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Asbestos,DEP,DEP - 204K,698,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Hazardous Materials,DEP,DEP - 204K,1040,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Air Quality,DEP,DEP - 204K,3738,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Sewer,DEP,DEP - 204K,4654,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Water System,DEP,DEP - 204K,12897,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Noise,DEP,DEP - 204K,27211,MANHATTAN - 511K ,2.65 Million SRs in 2015
QUEENS,Internal Code,DEP,DEP - 204K,210,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Water Quality,DEP,DEP - 204K,304,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Asbestos,DEP,DEP - 204K,331,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Lead,DEP,DEP - 204K,480,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Industrial Waste,DEP,DEP - 204K,663,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Hazardous Materials,DEP,DEP - 204K,1031,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Air Quality,DEP,DEP - 204K,1706,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Water Conservation,DEP,DEP - 204K,2106,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Noise,DEP,DEP - 204K,9897,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Sewer,DEP,DEP - 204K,15486,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Water System,DEP,DEP - 204K,20457,QUEENS - 554K ,2.65 Million SRs in 2015
STATEN ISLAND,Water Quality,DEP,DEP - 204K,107,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Industrial Waste,DEP,DEP - 204K,182,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Hazardous Materials,DEP,DEP - 204K,210,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Air Quality,DEP,DEP - 204K,249,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Water Conservation,DEP,DEP - 204K,1004,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Noise,DEP,DEP - 204K,1697,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Sewer,DEP,DEP - 204K,4283,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
STATEN ISLAND,Water System,DEP,DEP - 204K,5678,STATEN ISLAND - 120K ,2.65 Million SRs in 2015
BRONX,Homeless Person Assistance,DHS,DHS - 6K,160,BRONX - 418K ,2.65 Million SRs in 2015
BROOKLYN,Homeless Person Assistance,DHS,DHS - 6K,934,BROOKLYN - 718K ,2.65 Million SRs in 2015
MANHATTAN,Homeless Person Assistance,DHS,DHS - 6K,4505,MANHATTAN - 511K ,2.65 Million SRs in 2015
QUEENS,Homeless Person Assistance,DHS,DHS - 6K,528,QUEENS - 554K ,2.65 Million SRs in 2015
BRONX,Special Projects Inspection Team (SPIT),DOB,DOB - 92K,176,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Electrical,DOB,DOB - 92K,347,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Boilers,DOB,DOB - 92K,370,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Plumbing,DOB,DOB - 92K,637,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Special Enforcement,DOB,DOB - 92K,877,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,General Construction/Plumbing,DOB,DOB - 92K,2712,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Building/Use,DOB,DOB - 92K,2997,BRONX - 418K ,2.65 Million SRs in 2015
BRONX,Elevator,DOB,DOB - 92K,3085,BRONX - 418K ,2.65 Million SRs in 2015
BROOKLYN,Construction,DOB,DOB - 92K,112,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,BEST/Site Safety,DOB,DOB - 92K,175,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Investigations and Discipline (IAD),DOB,DOB - 92K,323,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Boilers,DOB,DOB - 92K,376,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Special Enforcement,DOB,DOB - 92K,772,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Special Projects Inspection Team (SPIT),DOB,DOB - 92K,981,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Electrical,DOB,DOB - 92K,1033,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Plumbing,DOB,DOB - 92K,1223,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Elevator,DOB,DOB - 92K,2458,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,Building/Use,DOB,DOB - 92K,7459,BROOKLYN - 718K ,2.65 Million SRs in 2015
BROOKLYN,General Construction/Plumbing,DOB,DOB - 92K,10233,BROOKLYN - 718K ,2.65 Million SRs in 2015
MANHATTAN,Scaffold Safety,DOB,DOB - 92K,104,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Cranes and Derricks,DOB,DOB - 92K,141,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,BEST/Site Safety,DOB,DOB - 92K,149,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Special Enforcement,DOB,DOB - 92K,189,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Investigations and Discipline (IAD),DOB,DOB - 92K,223,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Boilers,DOB,DOB - 92K,417,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Electrical,DOB,DOB - 92K,720,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Special Projects Inspection Team (SPIT),DOB,DOB - 92K,1336,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Plumbing,DOB,DOB - 92K,1482,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Building/Use,DOB,DOB - 92K,1759,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,Elevator,DOB,DOB - 92K,2611,MANHATTAN - 511K ,2.65 Million SRs in 2015
MANHATTAN,General Construction/Plumbing,DOB,DOB - 92K,7415,MANHATTAN - 511K ,2.65 Million SRs in 2015
QUEENS,Investigations and Discipline (IAD),DOB,DOB - 92K,178,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Boilers,DOB,DOB - 92K,189,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Special Projects Inspection Team (SPIT),DOB,DOB - 92K,469,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Electrical,DOB,DOB - 92K,498,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Plumbing,DOB,DOB - 92K,1047,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Elevator,DOB,DOB - 92K,1241,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,Special Enforcement,DOB,DOB - 92K,1888,QUEENS - 554K ,2.65 Million SRs in 2015
QUEENS,General Construction/Plumbing,DOB,DOB - 92K,6012,QUEENS - 554K ,2.65 Million SRs in 2015
